STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
ASN00086282,"MELBOURNE AIRPORT, AS",01/01/2016,0,69,84,68
ASN00086282,"MELBOURNE AIRPORT, AS",02/01/2016,0,69,81,60
ASN00086282,"MELBOURNE AIRPORT, AS",03/01/2016,0,68,83,61
ASN00086282,"MELBOURNE AIRPORT, AS",04/01/2016,0,66,76,58
ASN00086282,"MELBOURNE AIRPORT, AS",05/01/2016,0.2,69,78,57
ASN00086282,"MELBOURNE AIRPORT, AS",06/01/2016,0,68,78,60
ASN00086282,"MELBOURNE AIRPORT, AS",07/01/2016,0,64,74,58
ASN00086282,"MELBOURNE AIRPORT, AS",08/01/2016,0,65,73,56
ASN00086282,"MELBOURNE AIRPORT, AS",09/01/2016,0,65,75,61
ASN00086282,"MELBOURNE AIRPORT, AS",10/01/2016,0,76,90,60
ASN00086282,"MELBOURNE AIRPORT, AS",11/01/2016,0,74,101,62
ASN00086282,"MELBOURNE AIRPORT, AS",12/01/2016,0.4,71,87,59
ASN00086282,"MELBOURNE AIRPORT, AS",13/01/2016,0,84,110,60
ASN00086282,"MELBOURNE AIRPORT, AS",14/01/2016,0.8,58,64,62
ASN00086282,"MELBOURNE AIRPORT, AS",15/01/2016,1.4,58,67,53
ASN00086282,"MELBOURNE AIRPORT, AS",16/01/2016,0.6,65,77,48
ASN00086282,"MELBOURNE AIRPORT, AS",17/01/2016,0,80,91,54
ASN00086282,"MELBOURNE AIRPORT, AS",18/01/2016,0,75,98,69
ASN00086282,"MELBOURNE AIRPORT, AS",19/01/2016,0,75,92,56
ASN00086282,"MELBOURNE AIRPORT, AS",20/01/2016,1.8,72,88,63
ASN00086282,"MELBOURNE AIRPORT, AS",21/01/2016,0.8,67,81,65
ASN00086282,"MELBOURNE AIRPORT, AS",22/01/2016,0.6,66,75,62
ASN00086282,"MELBOURNE AIRPORT, AS",23/01/2016,5.4,64,73,61
ASN00086282,"MELBOURNE AIRPORT, AS",24/01/2016,0,65,75,58
ASN00086282,"MELBOURNE AIRPORT, AS",25/01/2016,1.4,65,72,60
ASN00086282,"MELBOURNE AIRPORT, AS",26/01/2016,0,73,85,59
ASN00086282,"MELBOURNE AIRPORT, AS",27/01/2016,0,75,84,64
ASN00086282,"MELBOURNE AIRPORT, AS",28/01/2016,0.2,67,87,70
ASN00086282,"MELBOURNE AIRPORT, AS",29/01/2016,14.6,58,66,55
ASN00086282,"MELBOURNE AIRPORT, AS",30/01/2016,7.8,64,73,52
ASN00086282,"MELBOURNE AIRPORT, AS",31/01/2016,8.8,59,69,58
ASN00086282,"MELBOURNE AIRPORT, AS",01/02/2016,0.6,67,77,50
ASN00086282,"MELBOURNE AIRPORT, AS",02/02/2016,0,74,90,59
ASN00086282,"MELBOURNE AIRPORT, AS",03/02/2016,0.2,63,70,63
ASN00086282,"MELBOURNE AIRPORT, AS",04/02/2016,1.6,64,70,61
ASN00086282,"MELBOURNE AIRPORT, AS",05/02/2016,0,70,84,56
ASN00086282,"MELBOURNE AIRPORT, AS",06/02/2016,0,78,90,56
ASN00086282,"MELBOURNE AIRPORT, AS",07/02/2016,0,72,89,63
ASN00086282,"MELBOURNE AIRPORT, AS",08/02/2016,0,67,76,61
ASN00086282,"MELBOURNE AIRPORT, AS",09/02/2016,0,68,79,62
ASN00086282,"MELBOURNE AIRPORT, AS",10/02/2016,0,68,77,60
ASN00086282,"MELBOURNE AIRPORT, AS",11/02/2016,0,67,78,63
ASN00086282,"MELBOURNE AIRPORT, AS",12/02/2016,0,73,83,58
ASN00086282,"MELBOURNE AIRPORT, AS",13/02/2016,0,72,99,62
ASN00086282,"MELBOURNE AIRPORT, AS",14/02/2016,0.4,65,80,54
ASN00086282,"MELBOURNE AIRPORT, AS",15/02/2016,0,67,82,53
ASN00086282,"MELBOURNE AIRPORT, AS",16/02/2016,0.8,59,66,56
ASN00086282,"MELBOURNE AIRPORT, AS",17/02/2016,0,64,74,55
ASN00086282,"MELBOURNE AIRPORT, AS",18/02/2016,0.2,65,73,58
ASN00086282,"MELBOURNE AIRPORT, AS",19/02/2016,0,62,73,58
ASN00086282,"MELBOURNE AIRPORT, AS",20/02/2016,0,60,72,57
ASN00086282,"MELBOURNE AIRPORT, AS",21/02/2016,0,69,83,50
ASN00086282,"MELBOURNE AIRPORT, AS",22/02/2016,0,77,87,56
ASN00086282,"MELBOURNE AIRPORT, AS",23/02/2016,0,85,107,65
ASN00086282,"MELBOURNE AIRPORT, AS",24/02/2016,0.2,72,85,73
ASN00086282,"MELBOURNE AIRPORT, AS",25/02/2016,0.4,68,86,65
ASN00086282,"MELBOURNE AIRPORT, AS",26/02/2016,0,67,77,54
ASN00086282,"MELBOURNE AIRPORT, AS",27/02/2016,0,66,76,62
ASN00086282,"MELBOURNE AIRPORT, AS",28/02/2016,0,65,75,60
ASN00086282,"MELBOURNE AIRPORT, AS",29/02/2016,0,65,77,57
ASN00086282,"MELBOURNE AIRPORT, AS",01/03/2016,0,77,94,55
ASN00086282,"MELBOURNE AIRPORT, AS",02/03/2016,0,74,99,63
ASN00086282,"MELBOURNE AIRPORT, AS",03/03/2016,0,67,80,62
ASN00086282,"MELBOURNE AIRPORT, AS",04/03/2016,0,79,103,59
ASN00086282,"MELBOURNE AIRPORT, AS",05/03/2016,0,67,76,66
ASN00086282,"MELBOURNE AIRPORT, AS",06/03/2016,0,70,84,59
ASN00086282,"MELBOURNE AIRPORT, AS",07/03/2016,0,69,75,64
ASN00086282,"MELBOURNE AIRPORT, AS",08/03/2016,0,90,104,66
ASN00086282,"MELBOURNE AIRPORT, AS",09/03/2016,0,71,87,71
ASN00086282,"MELBOURNE AIRPORT, AS",10/03/2016,2.4,67,68,64
ASN00086282,"MELBOURNE AIRPORT, AS",11/03/2016,9.8,72,83,64
ASN00086282,"MELBOURNE AIRPORT, AS",12/03/2016,0,66,71,65
ASN00086282,"MELBOURNE AIRPORT, AS",13/03/2016,1,67,75,62
ASN00086282,"MELBOURNE AIRPORT, AS",14/03/2016,0,62,68,62
ASN00086282,"MELBOURNE AIRPORT, AS",15/03/2016,0,67,82,55
ASN00086282,"MELBOURNE AIRPORT, AS",16/03/2016,0,77,89,56
ASN00086282,"MELBOURNE AIRPORT, AS",17/03/2016,0,78,92,62
ASN00086282,"MELBOURNE AIRPORT, AS",18/03/2016,8.2,57,69,57
ASN00086282,"MELBOURNE AIRPORT, AS",19/03/2016,3,58,67,51
ASN00086282,"MELBOURNE AIRPORT, AS",20/03/2016,1.2,59,72,51
ASN00086282,"MELBOURNE AIRPORT, AS",21/03/2016,0,61,73,48
ASN00086282,"MELBOURNE AIRPORT, AS",22/03/2016,0,65,79,49
ASN00086282,"MELBOURNE AIRPORT, AS",23/03/2016,0,70,85,55
ASN00086282,"MELBOURNE AIRPORT, AS",24/03/2016,0.6,62,70,62
ASN00086282,"MELBOURNE AIRPORT, AS",25/03/2016,0.2,61,71,55
ASN00086282,"MELBOURNE AIRPORT, AS",26/03/2016,0,61,69,52
